S 152384,4 hit 
S 15226c,4 hit 
S 152378,4 hit 
S 152484,4 hit 
S 15237c,4 hit 
S 152488,4 hit 
S 15248c,4 hit 
L 152174,4 hit 
L 152178,4 hit 
L 15217c,4 hit 
L 152284,4 miss eviction 
L 152288,4 hit 
L 152394,4 hit 
L 15227c,4 hit 
S 152174,4 hit 
L 152388,4 hit 
S 152178,4 hit 
L 152494,4 hit 
S 15217c,4 hit 
L 15238c,4 hit 
S 152284,4 hit 
L 152498,4 hit 
S 152288,4 hit 
L 15249c,4 hit 
S 152394,4 hit 
S 15227c,4 hit 
S 152388,4 hit 
S 152494,4 hit 
S 15238c,4 hit 
S 152498,4 hit 
S 15249c,4 hit 
L 111100,4 miss eviction 
S 1529c0,4 miss eviction 
L 111104,4 hit 
S 1529c4,4 hit 
L 111108,4 hit 
S 1529c8,4 hit 
L 11110c,4 hit 
S 1529cc,4 hit 
L 111110,4 hit 
L 111114,4 hit 
L 111118,4 hit 
L 11111c,4 hit 
L 1114d0,4 miss eviction 
S 1529d0,4 hit 
L 1114d4,4 hit 
S 1529d4,4 hit 
L 1114d8,4 hit 
S 1529d8,4 hit 
L 1114dc,4 hit 
S 1529dc,4 hit 
S 152df0,4 miss eviction 
S 152df4,4 hit 
S 152df8,4 hit 
S 152dfc,4 hit 
L 1114e0,4 miss eviction 
S 152e00,4 miss eviction 
L 1114e4,4 hit 
S 152e04,4 hit 
L 1114e8,4 hit 
S 152e08,4 hit 
L 1114ec,4 hit 
S 152e0c,4 hit 
L 1111f4,4 miss eviction 
S 152acc,4 miss eviction 
L 1111f8,4 hit 
S 152ad0,4 hit 
L 1111fc,4 hit 
S 152ad4,4 hit 
L 111200,4 miss eviction 
S 152ad8,4 hit 
L 111204,4 hit 
L 111208,4 hit 
L 11120c,4 hit 
L 111210,4 hit 
L 1115c4,4 miss eviction 
S 152adc,4 hit 
L 1115c8,4 hit 
S 152ae0,4 miss eviction 
L 1115cc,4 hit 
S 152ae4,4 hit 
L 1115d0,4 hit 
S 152ae8,4 hit 
S 152efc,4 miss eviction 
S 152f00,4 miss eviction 
S 152f04,4 hit 
S 152f08,4 hit 
L 1115d4,4 hit 
S 152f0c,4 hit 
L 1115d8,4 hit 
S 152f10,4 hit 
L 1115dc,4 hit 
S 152f14,4 hit 
L 1115e0,4 miss eviction 
S 152f18,4 hit 
L 1112e8,4 miss eviction 
S 152bd8,4 miss eviction 
L 1112ec,4 hit 
S 152bdc,4 hit 
L 1112f0,4 hit 
S 152be0,4 miss eviction 
L 1112f4,4 hit 
S 152be4,4 hit 
L 1112f8,4 hit 
L 1112fc,4 hit 
L 111300,4 miss eviction 
L 111304,4 hit 
L 1116b8,4 miss eviction 
S 152be8,4 hit 
L 1116bc,4 hit 
S 152bec,4 hit 
L 1116c0,4 miss eviction 
S 152bf0,4 hit 
L 1116c4,4 hit 
S 152bf4,4 hit 
S 153008,4 miss eviction 
S 15300c,4 hit 
S 153010,4 hit 
S 153014,4 hit 
L 1116c8,4 hit 
S 153018,4 hit 
L 1116cc,4 hit 
S 15301c,4 hit 
L 1116d0,4 hit 
S 153020,4 miss eviction 
L 1116d4,4 hit 
S 153024,4 hit 
L 1113dc,4 miss eviction 
